,CensusTract,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP,zip,Shortage_PF
0,42003010300,1,6600,282,1,6012,91.09,0,1,0,0,0,1,46.1,17161.0,0,1,0,1,0,0,0,0,,5739.0,,,1438.0,,5739.0,86.96,1438.0,21.79,26.0,0.39,13.0,0.19,3848.0,58.31,1730.0,26.21,65.0,0.98,2.0,0.03,10.0,0.15,85.0,1.28,137.0,2.07,0.0,0.06,0.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540,127,108,4345,2057,73,2,13,110,161,97,100,15219,0.148403043
1,42003020100,1,3629,1906,0,1091,30.06,0,0,0,0,1,0,17.5,137463.0,0,1,0,1,0,0,0,1,0.0,2361.0,0.0,0.0,497.0,0.0,2361.0,65.07,497.0,13.7,29.0,0.8,356.0,9.81,1735.0,47.81,428.0,11.78,63.0,1.75,2.0,0.06,7.0,0.19,126.0,3.48,80.0,2.2,370.0,19.39,101.0,5.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,990,68,434,2706,580,171,2,8,162,119,805,248,15219,0.148403043
2,42003020300,1,616,403,0,0,0.0,0,0,0,0,0,0,6.4,124722.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,49,44,466,96,39,0,1,14,10,74,0,15219,0.148403043
3,42003030500,1,2256,1154,0,116,5.14,0,0,0,0,0,1,39.5,26976.0,0,0,0,0,0,0,0,0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1588,463,469,307,1861,24,0,7,57,32,470,469,15219,0.148403043
4,42003040200,1,2604,594,0,1259,48.35,0,1,0,1,1,1,47.9,34813.0,0,1,0,1,0,0,0,1,,2482.0,,,1720.0,,2482.0,95.31,1720.0,66.04,205.0,7.87,194.0,7.45,1371.0,52.65,884.0,33.94,169.0,6.49,0.0,0.0,7.0,0.27,51.0,1.96,60.0,2.3,208.0,34.93,186.0,31.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,887,235,211,1373,1003,169,0,7,52,61,254,224,15219,0.148403043
5,42003050100,1,1707,920,0,25,1.46,0,1,0,1,1,1,51.2,18125.0,0,1,0,1,0,0,0,1,,767.0,,,417.0,,767.0,44.95,417.0,24.4,140.0,8.18,136.0,7.99,27.0,1.59,722.0,42.28,1.0,0.06,0.0,0.0,1.0,0.06,17.0,0.97,4.0,0.24,184.0,20.05,209.0,22.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1420,298,367,65,1610,2,0,2,28,15,505,508,15219,0.148403043
6,42003050600,1,2057,1016,0,0,0.0,0,1,0,1,1,1,21.8,68750.0,0,1,0,1,0,0,0,1,,1082.0,,,349.0,,1082.0,52.59,349.0,16.95,223.0,10.85,187.0,9.07,62.0,3.03,990.0,48.11,2.0,0.1,0.0,0.0,2.0,0.09,26.0,1.26,17.0,0.8,160.0,15.72,98.0,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,652,351,512,380,1593,21,0,5,58,29,265,169,15219,0.148403043
7,42003050900,1,1202,651,0,0,0.0,0,0,0,0,0,1,58.4,19076.0,0,0,0,0,0,0,0,0,,97.0,,,84.0,,97.0,8.1,84.0,6.95,20.0,1.68,27.0,2.23,4.0,0.31,92.0,7.63,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.15,3.0,0.26,37.0,5.64,26.0,3.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1109,355,179,48,1106,3,0,8,37,19,650,460,15219,0.148403043
8,42003051000,1,2106,731,0,799,37.94,0,1,0,1,1,1,56.0,15278.0,0,1,0,1,0,0,0,1,,2036.0,,,1503.0,,2036.0,96.69,1503.0,71.35,242.0,11.5,180.0,8.55,870.0,41.3,1035.0,49.16,74.0,3.5,0.0,0.0,6.0,0.28,52.0,2.46,24.0,1.13,344.0,47.1,253.0,34.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,987,247,187,896,1074,76,0,6,54,26,374,275,15219,0.148403043
9,42003051100,1,1122,535,0,0,0.0,0,0,0,0,0,1,43.5,23681.0,0,0,0,0,0,0,0,0,,10.0,,,9.0,,10.0,0.89,9.0,0.83,3.0,0.26,0.0,0.04,0.0,0.0,10.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,5.0,0.88,5.0,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,427,37,4,1108,1,0,0,9,9,63,65,15219,0.148403043
