CensusTract,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP,zip,Shortage_PF
42003010300,1,6600,282,1,6012,91.09,0,1,0,0,0,1,46.1,17161,0,1,0,1,0,0,0,0,540,127,108,4345,2057,73,2,13,110,161,97,100,15219,0.148403043
42003020100,1,3629,1906,0,1091,30.06,0,0,0,0,1,0,17.5,137463,0,1,0,1,0,0,0,1,990,68,434,2706,580,171,2,8,162,119,805,248,15219,0.148403043
42003020300,1,616,403,0,0,0,0,0,0,0,0,0,6.4,124722,0,0,0,0,0,0,0,0,102,49,44,466,96,39,0,1,14,10,74,0,15219,0.148403043
42003030500,1,2256,1154,0,116,5.14,0,0,0,0,0,1,39.5,26976,0,0,0,0,0,0,0,0,1588,463,469,307,1861,24,0,7,57,32,470,469,15219,0.148403043
42003040200,1,2604,594,0,1259,48.35,0,1,0,1,1,1,47.9,34813,0,1,0,1,0,0,0,1,887,235,211,1373,1003,169,0,7,52,61,254,224,15219,0.148403043
42003050100,1,1707,920,0,25,1.46,0,1,0,1,1,1,51.2,18125,0,1,0,1,0,0,0,1,1420,298,367,65,1610,2,0,2,28,15,505,508,15219,0.148403043
42003050600,1,2057,1016,0,0,0,0,1,0,1,1,1,21.8,68750,0,1,0,1,0,0,0,1,652,351,512,380,1593,21,0,5,58,29,265,169,15219,0.148403043
42003050900,1,1202,651,0,0,0,0,0,0,0,0,1,58.4,19076,0,0,0,0,0,0,0,0,1109,355,179,48,1106,3,0,8,37,19,650,460,15219,0.148403043
42003051000,1,2106,731,0,799,37.94,0,1,0,1,1,1,56,15278,0,1,0,1,0,0,0,1,987,247,187,896,1074,76,0,6,54,26,374,275,15219,0.148403043
42003051100,1,1122,535,0,0,0,0,0,0,0,0,1,43.5,23681,0,0,0,0,0,0,0,0,159,427,37,4,1108,1,0,0,9,9,63,65,15219,0.148403043
42003060300,1,2341,1180,0,22,0.94,0,0,0,0,0,0,14.6,81622,0,0,0,0,0,0,0,0,658,350,305,1649,546,59,1,3,83,30,301,204,15219,0.148403043
42003060500,1,1274,697,0,0,0,0,0,0,0,0,0,9.6,95609,0,0,0,0,0,0,0,0,368,155,204,1056,155,16,0,2,45,28,145,98,15219,0.148403043
42003170200,1,3725,2063,0,8,0.21,0,0,0,0,0,1,30.6,,0,0,0,0,0,0,0,0,1499,163,374,3555,54,53,2,3,58,106,409,165,15219,0.148403043
42003427200,1,4899,2184,0,90,1.84,0,0,0,0,1,0,12.4,77303,0,1,0,1,0,0,0,1,1047,877,965,4759,49,44,0,7,40,43,153,152,15219,0.148403043
42003562600,1,2635,1151,0,0,0,1,1,1,1,1,1,17.8,49375,1,1,1,1,1,0,0,1,1058,594,330,1695,799,18,0,5,118,38,205,363,15219,0.148403043
42003563100,1,3549,1612,0,0,0,0,0,0,0,0,0,10,67792,0,0,0,0,0,0,0,0,866,658,634,2977,281,180,1,3,107,51,95,194,15219,0.148403043
42003980700,1,19,10,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,1,19,0,0,0,0,0,0,0,0,15219,0.148403043
42003020100,1,3629,1906,0,1091,30.06,0,0,0,0,1,0,17.5,137463,0,1,0,1,0,0,0,1,990,68,434,2706,580,171,2,8,162,119,805,248,15222,0.192556782
42003020300,1,616,403,0,0,0,0,0,0,0,0,0,6.4,124722,0,0,0,0,0,0,0,0,102,49,44,466,96,39,0,1,14,10,74,0,15222,0.192556782
42003060500,1,1274,697,0,0,0,0,0,0,0,0,0,9.6,95609,0,0,0,0,0,0,0,0,368,155,204,1056,155,16,0,2,45,28,145,98,15222,0.192556782
42003240600,1,2714,1349,0,3,0.11,0,0,0,0,1,0,16.8,79196,0,1,0,1,0,0,0,1,651,483,331,2204,331,108,1,3,67,50,265,183,15222,0.192556782
42003020300,1,616,403,0,0,0,0,0,0,0,0,0,6.4,124722,0,0,0,0,0,0,0,0,102,49,44,466,96,39,0,1,14,10,74,0,15201,0.812935323
42003060300,1,2341,1180,0,22,0.94,0,0,0,0,0,0,14.6,81622,0,0,0,0,0,0,0,0,658,350,305,1649,546,59,1,3,83,30,301,204,15201,0.812935323
42003060500,1,1274,697,0,0,0,0,0,0,0,0,0,9.6,95609,0,0,0,0,0,0,0,0,368,155,204,1056,155,16,0,2,45,28,145,98,15201,0.812935323
42003090100,1,1843,922,0,9,0.49,0,0,0,0,1,0,8.7,72212,0,1,0,1,0,0,0,1,387,276,290,1541,226,17,0,1,58,26,219,74,15201,0.812935323
42003090200,1,2635,1369,0,87,3.3,0,0,0,0,0,0,8.8,77833,0,1,0,1,0,0,0,0,749,294,663,2317,196,61,0,2,59,52,364,133,15201,0.812935323
42003100500,1,2079,915,0,48,2.31,0,0,0,0,1,0,12.5,78500,0,1,0,1,0,0,0,1,480,437,402,600,1397,13,0,1,68,17,201,133,15201,0.812935323
42003101100,1,2669,1168,0,5,0.19,0,0,0,0,0,1,14.2,53750,0,0,0,0,0,0,0,0,996,605,264,1754,751,37,1,10,116,83,137,169,15201,0.812935323
42003101400,1,3346,1526,0,5,0.15,0,0,0,0,1,0,5,74943,1,1,1,1,1,0,0,1,749,598,513,2652,552,33,2,3,104,52,295,94,15201,0.812935323
42003101800,1,2522,1182,0,0,0,0,0,0,0,0,0,6,80536,0,1,0,1,0,0,0,0,413,427,450,1971,446,27,0,10,68,49,109,49,15201,0.812935323
42003981000,1,4,2,0,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,15201,0.812935323
42003040200,1,2604,594,0,1259,48.35,0,1,0,1,1,1,47.9,34813,0,1,0,1,0,0,0,1,887,235,211,1373,1003,169,0,7,52,61,254,224,15213,0.952850673
42003040400,1,2488,1369,0,325,13.06,0,0,0,0,0,1,39.8,54531,0,0,0,0,0,0,0,0,968,21,620,1518,86,766,1,9,108,95,506,0,15213,0.952850673
42003040500,1,3694,1300,0,736,19.92,0,1,0,1,1,1,72.8,20875,0,1,0,1,0,0,0,1,2517,34,123,3089,175,325,0,9,96,79,436,9,15213,0.952850673
42003040600,1,2392,1084,0,0,0,0,1,0,1,1,1,57.7,46250,0,1,0,1,0,0,0,1,1589,57,106,1965,146,193,1,6,81,78,295,22,15213,0.952850673
42003040900,1,2969,1321,0,92,3.1,0,1,0,1,1,1,58,36719,0,1,0,1,0,0,0,1,2413,210,318,2022,633,183,1,2,128,86,348,186,15213,0.952850673
42003050600,1,2057,1016,0,0,0,0,1,0,1,1,1,21.8,68750,0,1,0,1,0,0,0,1,652,351,512,380,1593,21,0,5,58,29,265,169,15213,0.952850673
42003051000,1,2106,731,0,799,37.94,0,1,0,1,1,1,56,15278,0,1,0,1,0,0,0,1,987,247,187,896,1074,76,0,6,54,26,374,275,15213,0.952850673
42003060500,1,1274,697,0,0,0,0,0,0,0,0,0,9.6,95609,0,0,0,0,0,0,0,0,368,155,204,1056,155,16,0,2,45,28,145,98,15213,0.952850673
42003070900,1,4934,2719,0,546,11.07,0,0,0,0,0,1,32.5,156964,0,0,0,0,0,0,0,0,1890,310,600,2965,353,1460,4,5,147,176,957,34,15213,0.952850673
42003080400,1,1369,755,0,0,0,0,0,0,0,0,1,33.4,46786,0,0,0,0,0,0,0,0,799,90,125,1033,98,199,0,2,37,40,282,72,15213,0.952850673
42003140100,1,5476,1029,0,2923,53.38,0,0,0,0,0,0,12.3,187250,0,1,0,1,0,0,0,0,575,505,500,3668,192,1233,0,15,368,304,107,0,15213,0.952850673
42003562000,1,3247,2020,0,82,2.53,0,0,0,0,0,1,45.9,67500,0,0,0,0,0,0,0,0,1695,123,514,2176,407,526,7,6,125,109,826,213,15213,0.952850673
42003980500,1,27,14,0,0,0,0,1,0,0,0,1,55.6,,0,1,0,1,0,0,0,0,9,3,6,27,0,0,0,0,0,0,0,0,15213,0.952850673
42003982200,1,4816,165,1,4475,92.92,0,1,0,0,0,1,37,,0,1,0,1,0,0,0,0,10,5,1,4004,364,315,0,5,128,80,3,0,15213,0.952850673
42003060300,1,2341,1180,0,22,0.94,0,0,0,0,0,0,14.6,81622,0,0,0,0,0,0,0,0,658,350,305,1649,546,59,1,3,83,30,301,204,15224,0.293033786
42003070900,1,4934,2719,0,546,11.07,0,0,0,0,0,1,32.5,156964,0,0,0,0,0,0,0,0,1890,310,600,2965,353,1460,4,5,147,176,957,34,15224,0.293033786
42003080200,1,1679,896,0,0,0,0,0,0,0,0,1,21.3,45875,0,0,0,0,0,0,0,0,715,158,281,1514,84,41,1,2,37,32,313,140,15224,0.293033786
42003080400,1,1369,755,0,0,0,0,0,0,0,0,1,33.4,46786,0,0,0,0,0,0,0,0,799,90,125,1033,98,199,0,2,37,40,282,72,15224,0.293033786
42003080600,1,1998,1112,0,6,0.3,0,0,0,0,0,0,10.7,126488,0,0,0,0,0,0,0,0,552,211,172,1643,172,128,0,3,52,54,154,30,15224,0.293033786
42003080900,1,1767,963,0,68,3.85,0,0,0,0,0,0,8.8,83882,0,0,0,0,0,0,0,0,427,154,213,1352,246,92,1,4,72,48,209,64,15224,0.293033786
42003090200,1,2635,1369,0,87,3.3,0,0,0,0,0,0,8.8,77833,0,1,0,1,0,0,0,0,749,294,663,2317,196,61,0,2,59,52,364,133,15224,0.293033786
42003090300,1,1629,846,0,0,0,0,0,0,0,0,1,12.2,58934,0,0,0,0,0,0,0,0,781,193,251,1344,139,82,1,0,63,45,230,98,15224,0.293033786
42003100500,1,2079,915,0,48,2.31,0,0,0,0,1,0,12.5,78500,0,1,0,1,0,0,0,1,480,437,402,600,1397,13,0,1,68,17,201,133,15224,0.293033786
42003101600,1,857,310,0,0,0,0,1,0,0,0,1,43.3,26667,0,1,0,1,0,0,0,0,756,316,82,51,789,2,0,0,15,4,100,224,15224,0.293033786
42003101700,1,1465,620,0,0,0,0,0,0,0,0,1,24.3,41420,0,0,0,0,0,0,0,0,606,363,197,278,1067,66,1,4,49,21,146,145,15224,0.293033786
42003981000,1,4,2,0,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,15224,0.293033786
42003060500,1,1274,697,0,0,0,0,0,0,0,0,0,9.6,95609,0,0,0,0,0,0,0,0,368,155,204,1056,155,16,0,2,45,28,145,98,15215,2.717171717
42003421100,1,4103,1733,0,5,0.12,0,0,0,0,1,0,4.6,115978,1,1,1,1,1,0,0,1,809,913,990,3791,16,235,0,4,57,53,146,64,15215,2.717171717
42003421200,1,4304,1695,0,0,0,0,0,0,0,0,0,5.9,112955,1,1,1,1,1,0,0,0,552,985,734,4039,37,183,0,2,43,72,69,87,15215,2.717171717
42003422000,1,5388,2063,0,0,0,0,0,0,0,0,0,0.6,179390,1,1,1,1,1,0,0,0,273,1481,941,4950,46,307,3,6,76,75,23,23,15215,2.717171717
42003423000,1,2801,1376,0,0,0,0,0,0,0,0,0,4.3,117784,0,1,0,1,0,0,0,0,468,582,402,2568,40,151,0,1,41,52,65,22,15215,2.717171717
42003424000,1,3446,1641,0,10,0.29,1,1,1,1,1,1,19.3,48355,1,1,1,1,1,0,0,1,1430,715,578,2994,232,59,1,7,153,115,372,444,15215,2.717171717
42003426700,1,2361,1141,0,4,0.17,0,0,0,0,0,0,4.5,79306,0,1,0,1,0,0,0,0,404,345,446,2239,24,69,0,0,29,17,22,58,15215,2.717171717
