zip,ProductQuantity,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LowIncomeTracts,TractLOWI,Total_Population,Shortage_PF
15001,20233,1,1,1,1,12624,51540,0.623931202
15003,8871,1,1,1,1,5113,18641,0.57637245
15004,174,0,0,0,0,1461,4567,8.396551724
15005,795,0,1,0,1,4467,30185,5.618867925
15010,8881,1,1,1,1,15444,55660,1.738993357
15014,1102,1,1,1,1,1125,3543,1.020871143
15022,64,1,1,1,1,5772,21150,90.1875
15024,255992,0,1,0,1,3521,24337,0.013754336
15025,25862,1,1,1,1,7892,38803,0.305158147
15033,36,1,1,1,1,3051,11334,84.75
15034,569,0,0,0,0,1117,4180,1.963093146
15035,6994,1,1,1,1,2096,5992,0.299685445
15037,36700,1,1,1,1,3710,20421,0.101089918
15045,12888,1,1,1,1,1690,4993,0.131129733
15056,71,0,1,0,1,424,1232,5.971830986
15057,37,0,0,0,1,7433,30523,200.8918919
15059,648,1,1,1,1,3497,11854,5.396604938
15061,303347,0,1,0,1,5597,23792,0.018450817
15063,198,1,1,1,1,5239,20928,26.45959596
15065,25480,0,1,0,1,4481,20265,0.175863422
15068,1081,0,0,0,0,1504,10913,1.391304348
15074,1818,1,1,1,1,5324,23816,2.928492849
15076,1200,0,0,0,0,2291,11563,1.909166667
15084,1691,1,1,1,1,7538,31106,4.457717327
15088,437,0,0,0,0,695,3655,1.590389016
15090,16445,0,0,0,0,4965,40651,0.301915476
15101,22575,0,0,0,0,7961,64511,0.352646733
15102,29590,0,0,0,0,6749,57129,0.228083812
15104,21004,1,1,1,1,7948,18770,0.378404114
15106,11281,1,1,1,1,8884,49607,0.787518837
15108,112574,0,1,0,1,12780,66684,0.113525326
15110,99726,0,1,0,1,5303,12235,0.053175701
15116,3405,0,0,0,0,5644,51125,1.657562408
15120,50560,0,1,0,1,8135,26380,0.160897943
15122,1198,0,1,0,1,8921,37337,7.446577629
15126,4043,0,0,0,1,5735,22414,1.418501113
15129,726,0,0,0,0,3789,26859,5.219008264
15131,14477,1,1,1,1,5710,20871,0.394418733
15132,69477,1,1,1,1,16955,49484,0.244037595
15133,16720,1,1,1,1,1972,8100,0.117942584
15136,7716,1,1,1,1,11337,35037,1.469284603
15137,8153,1,1,1,1,4864,15201,0.596590212
15139,1975,0,0,0,0,1888,13278,0.955949367
15140,31410,1,1,1,1,4381,12098,0.139477873
15144,2978,0,1,0,1,1286,5641,0.431833445
15145,8412,1,1,1,1,6962,23074,0.827627199
15146,21497,1,1,1,1,13560,61234,0.630785691
15147,86638,1,1,1,1,10382,46580,0.119831944
15148,1566,1,1,1,1,5057,14589,3.229246488
15201,6030,0,0,0,1,4902,24272,0.812935323
15202,7643,0,0,0,1,9611,43755,1.257490514
15203,8546,0,1,0,1,7951,24235,0.930376784
15204,17247,0,1,0,1,5243,12906,0.303994898
15205,6821,1,1,1,1,11351,56192,1.664125495
15206,103964,1,1,1,1,19581,67298,0.188344042
15207,50358,1,1,1,1,7240,28745,0.143770602
15208,41815,0,1,0,1,8612,24220,0.205954801
15209,461,1,1,1,1,7160,33927,15.53145336
15210,53691,1,1,1,1,20373,54780,0.37944907
15211,3870,0,1,0,1,6435,23067,1.662790698
15212,127289,1,1,1,1,14430,63626,0.113364077
15213,16119,0,1,0,1,15359,40633,0.952850673
15214,16392,1,1,1,1,9717,36755,0.592789165
15215,1584,1,1,1,1,4304,28631,2.717171717
15216,5255,0,1,0,1,9397,48026,1.788201713
15217,1170,1,1,1,1,10516,49499,8.988034188
15218,14483,0,1,0,1,5244,18911,0.36207968
15219,93866,1,1,1,1,13930,47232,0.148403043
15220,5322,1,1,1,1,12578,56895,2.363397219
15221,122020,1,1,1,1,18162,67057,0.148844452
15222,10963,0,0,0,0,2111,9288,0.192556782
15223,9759,0,1,0,1,5314,28537,0.544523004
15224,28710,0,1,0,1,8413,29421,0.293033786
15226,33099,0,1,0,1,9891,40878,0.29883078
15227,11118,1,1,1,1,11372,48901,1.022845836
15228,13381,0,0,0,0,6714,50909,0.501756222
15229,1808,0,0,0,0,5629,31222,3.113384956
15233,928,0,1,0,1,4181,21171,4.505387931
15235,31885,1,1,1,1,17110,71517,0.536615964
15236,42534,1,1,1,1,17669,83590,0.415408849
15237,78,0,0,0,0,12473,91958,159.9102564
15238,10558,1,1,1,1,4544,35311,0.430384543
15239,33994,0,0,0,0,6700,42134,0.197093605
15243,850,0,0,0,0,2964,24106,3.487058824
15301,4464,1,1,1,1,22192,96031,4.971326165
15317,19,0,0,0,0,9545,57336,502.3684211
15323,164,0,0,0,0,3861,20717,23.54268293
15341,1975,0,0,0,0,1936,7820,0.980253165
15347,185,0,0,0,0,2315,8544,12.51351351
15370,10519,1,1,1,1,10423,52025,0.990873657
15412,341,1,1,1,1,1148,4732,3.366568915
15417,19003,1,1,1,1,8916,30768,0.469189075
15419,25,1,1,1,1,2151,5408,86.04
15423,21,1,1,1,1,4844,17442,230.6666667
15424,9305,0,0,0,1,4848,24386,0.52101021
15425,18,1,1,1,1,14337,42561,796.5
15431,7455,0,0,0,0,3750,18018,0.503018109
15475,40118,1,1,1,1,2599,11842,0.064783888
15501,11903,1,1,1,1,11048,43416,0.928169369
15530,6529,1,1,1,1,3939,16902,0.603308317
15531,7950,0,0,0,1,4411,14733,0.554842767
15552,2707,1,1,1,1,5394,18352,1.992611747
15557,1491,0,0,0,1,3996,15762,2.680080483
15701,76488,0,1,0,1,15257,51588,0.199469198
15904,10803,1,1,1,1,6822,35795,0.631491252
15905,50781,1,1,1,1,8685,35438,0.171028534
15926,696,0,0,0,1,2835,10607,4.073275862
15935,2021,0,0,0,1,6381,22192,3.157347848
15963,1673,0,1,0,1,6103,28129,3.647937836
16001,30013,0,1,0,1,16304,63451,0.543231266
16023,7489,0,0,0,1,3262,14723,0.435572173
16033,523,0,0,0,0,4622,41749,8.837476099
16037,2697,0,0,0,0,5327,24756,1.975157582
16050,4170,0,0,0,0,4053,13718,0.971942446
16057,2020,1,1,1,1,10512,44434,5.203960396
16059,74442,0,0,0,0,4995,45908,0.067099218
16101,57793,1,1,1,1,21759,72021,0.376498884
16102,880,1,1,1,1,6826,21233,7.756818182
16105,2714,1,1,1,1,7565,37357,2.787398674
16115,5737,0,0,0,0,2819,12728,0.491371797
16117,21844,0,1,0,1,7106,23857,0.32530672
16120,517,0,0,0,0,1976,9164,3.82205029
16132,1137,0,0,0,0,838,3447,0.737027265
16141,907,0,0,0,1,2931,12594,3.231532525
16143,817,0,0,0,0,1551,7105,1.898408813
16156,11,0,0,0,0,2488,12087,226.1818182
16201,15982,0,1,0,1,12346,36550,0.772494056
16229,3199,1,1,1,1,4708,22434,1.471709909
