,ProductQuantity,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LowIncomeTracts,TractLOWI,Total_Population,Risk_Level,Shortage_PF
15001,20233.0,1.0,1.0,1.0,1.0,12624.0,51540.0,2.0,0.6239312015024959
15003,8871.0,1.0,1.0,1.0,1.0,5113.0,18641.0,2.0,0.5763724495547289
15004,174.0,0.0,0.0,0.0,0.0,1461.0,4567.0,0.0,8.39655172413793
15005,795.0,0.0,1.0,0.0,1.0,4467.0,30185.0,3.0,5.618867924528302
15010,8881.0,1.0,1.0,1.0,1.0,15444.0,55660.0,2.0,1.7389933566039861
15014,1102.0,1.0,1.0,1.0,1.0,1125.0,3543.0,2.0,1.0208711433756805
15022,64.0,1.0,1.0,1.0,1.0,5772.0,21150.0,2.0,90.1875
15024,255992.0,0.0,1.0,0.0,1.0,3521.0,24337.0,3.0,0.013754336073002282
15025,25862.0,1.0,1.0,1.0,1.0,7892.0,38803.0,2.0,0.30515814708839223
15033,36.0,1.0,1.0,1.0,1.0,3051.0,11334.0,2.0,84.75
15034,569.0,0.0,0.0,0.0,0.0,1117.0,4180.0,0.0,1.9630931458699472
15035,6994.0,1.0,1.0,1.0,1.0,2096.0,5992.0,2.0,0.2996854446668573
15037,36700.0,1.0,1.0,1.0,1.0,3710.0,20421.0,2.0,0.10108991825613078
15045,12888.0,1.0,1.0,1.0,1.0,1690.0,4993.0,2.0,0.13112973308504033
15056,71.0,0.0,1.0,0.0,1.0,424.0,1232.0,3.0,5.971830985915493
15057,37.0,0.0,0.0,0.0,1.0,7433.0,30523.0,0.0,200.8918918918919
15059,648.0,1.0,1.0,1.0,1.0,3497.0,11854.0,2.0,5.396604938271605
15061,303347.0,0.0,1.0,0.0,1.0,5597.0,23792.0,3.0,0.018450817051099896
15063,198.0,1.0,1.0,1.0,1.0,5239.0,20928.0,2.0,26.45959595959596
15065,25480.0,0.0,1.0,0.0,1.0,4481.0,20265.0,3.0,0.17586342229199373
15068,1081.0,0.0,0.0,0.0,0.0,1504.0,10913.0,0.0,1.391304347826087
15074,1818.0,1.0,1.0,1.0,1.0,5324.0,23816.0,2.0,2.9284928492849285
15076,1200.0,0.0,0.0,0.0,0.0,2291.0,11563.0,0.0,1.9091666666666667
15084,1691.0,1.0,1.0,1.0,1.0,7538.0,31106.0,2.0,4.457717327025429
15088,437.0,0.0,0.0,0.0,0.0,695.0,3655.0,0.0,1.5903890160183067
15090,16445.0,0.0,0.0,0.0,0.0,4965.0,40651.0,0.0,0.3019154758285193
15101,22575.0,0.0,0.0,0.0,0.0,7961.0,64511.0,0.0,0.3526467331118494
15102,29590.0,0.0,0.0,0.0,0.0,6749.0,57129.0,0.0,0.22808381209868198
15104,21004.0,1.0,1.0,1.0,1.0,7948.0,18770.0,2.0,0.37840411350219005
15106,11281.0,1.0,1.0,1.0,1.0,8884.0,49607.0,2.0,0.787518836982537
15108,112574.0,0.0,1.0,0.0,1.0,12780.0,66684.0,3.0,0.11352532556362925
15110,99726.0,0.0,1.0,0.0,1.0,5303.0,12235.0,3.0,0.053175701421895996
15116,3405.0,0.0,0.0,0.0,0.0,5644.0,51125.0,0.0,1.6575624082232012
15120,50560.0,0.0,1.0,0.0,1.0,8135.0,26380.0,3.0,0.1608979430379747
15122,1198.0,0.0,1.0,0.0,1.0,8921.0,37337.0,3.0,7.446577629382304
15126,4043.0,0.0,0.0,0.0,1.0,5735.0,22414.0,0.0,1.418501113034875
15129,726.0,0.0,0.0,0.0,0.0,3789.0,26859.0,0.0,5.2190082644628095
15131,14477.0,1.0,1.0,1.0,1.0,5710.0,20871.0,2.0,0.3944187331629481
15132,69477.0,1.0,1.0,1.0,1.0,16955.0,49484.0,2.0,0.2440375951753818
15133,16720.0,1.0,1.0,1.0,1.0,1972.0,8100.0,2.0,0.11794258373205742
15136,7716.0,1.0,1.0,1.0,1.0,11337.0,35037.0,2.0,1.469284603421462
15137,8153.0,1.0,1.0,1.0,1.0,4864.0,15201.0,2.0,0.5965902121918313
15139,1975.0,0.0,0.0,0.0,0.0,1888.0,13278.0,0.0,0.9559493670886076
15140,31410.0,1.0,1.0,1.0,1.0,4381.0,12098.0,2.0,0.13947787328876154
15144,2978.0,0.0,1.0,0.0,1.0,1286.0,5641.0,3.0,0.4318334452652787
15145,8412.0,1.0,1.0,1.0,1.0,6962.0,23074.0,2.0,0.8276271992391822
15146,21497.0,1.0,1.0,1.0,1.0,13560.0,61234.0,2.0,0.6307856910266548
15147,86638.0,1.0,1.0,1.0,1.0,10382.0,46580.0,2.0,0.11983194441238255
15148,1566.0,1.0,1.0,1.0,1.0,5057.0,14589.0,2.0,3.2292464878671776
15201,6030.0,0.0,0.0,0.0,1.0,4902.0,24272.0,0.0,0.8129353233830846
15202,7643.0,0.0,0.0,0.0,1.0,9611.0,43755.0,0.0,1.2574905141959964
15203,8546.0,0.0,1.0,0.0,1.0,7951.0,24235.0,3.0,0.9303767844605664
15204,17247.0,0.0,1.0,0.0,1.0,5243.0,12906.0,3.0,0.30399489766336174
15205,6821.0,1.0,1.0,1.0,1.0,11351.0,56192.0,2.0,1.6641254947954844
15206,103964.0,1.0,1.0,1.0,1.0,19581.0,67298.0,2.0,0.18834404216844292
15207,50358.0,1.0,1.0,1.0,1.0,7240.0,28745.0,2.0,0.14377060248619883
15208,41815.0,0.0,1.0,0.0,1.0,8612.0,24220.0,3.0,0.2059548009087648
15209,461.0,1.0,1.0,1.0,1.0,7160.0,33927.0,2.0,15.531453362255965
15210,53691.0,1.0,1.0,1.0,1.0,20373.0,54780.0,2.0,0.37944906967648206
15211,3870.0,0.0,1.0,0.0,1.0,6435.0,23067.0,3.0,1.6627906976744187
15212,127289.0,1.0,1.0,1.0,1.0,14430.0,63626.0,2.0,0.11336407702158081
15213,16119.0,0.0,1.0,0.0,1.0,15359.0,40633.0,3.0,0.9528506731186798
15214,16392.0,1.0,1.0,1.0,1.0,9717.0,36755.0,2.0,0.5927891654465594
15215,1584.0,1.0,1.0,1.0,1.0,4304.0,28631.0,2.0,2.717171717171717
15216,5255.0,0.0,1.0,0.0,1.0,9397.0,48026.0,3.0,1.7882017126546146
