Zip,ProductQuantity
15010,20
15424,10
16201,100
16201,100
16117,16
16117,5
16117,15
16117,7
16117,10
16117,15
16117,15
16117,30
15116,1
15116,1
15116,1
15116,1
15116,4
15116,8
15116,4
15120,4
15120,8
15120,10
15120,15
15120,5
15065,4
16059,37
16059,19
16059,38
15218,8
15218,4
15218,6
15219,3
15010,42
15010,166
15146,2
15146,6
15146,2
15146,4
15146,8
15146,8
15146,9
15224,9
15224,7
15001,2
15001,5
15001,5
15001,11
15212,2
15212,2
15202,10
15213,2
15074,10
15074,10
15074,15
15074,20
15074,18
15221,381
15904,1447
15236,2
15236,4
15236,71
15221,111
15056,2
15136,10
15136,15
15210,2
15210,81
15219,7
15219,1
15219,1
15219,90
15133,2
15133,290
15229,2
15229,2
15229,2
15229,2
15221,6
15221,5
15221,2
15221,4
15014,4
15014,2
15014,5
15014,4
15014,5
15014,3
15014,4
15205,13
15205,13
15205,5
15120,4
15120,4
15212,4
15212,3
15204,1850
15106,2
15106,3
15106,8
15106,4
15106,8
15222,4
15222,3
15222,3
15222,4
15222,4
15222,2
15222,4
16059,66
15136,4
16101,2
16101,10
16101,100
15037,5
15037,5
15037,10
15037,60
15223,1
15223,2
15223,3
15223,2
15223,2
15223,2
15223,4
15126,1
15126,2
15126,4
15147,1158
15221,5
15221,4
15221,8
15024,1
15024,2
15024,2
15024,2
15024,229
15132,119
15203,2
15203,2
15203,1
15203,1
15210,2
15210,2
15210,2
15146,1
15146,1
15146,2
15146,1
15146,1
15146,2
15146,35
16001,28
16001,30
16001,20
15120,3
15120,2
15120,4
15140,245
15206,2
15206,4
15206,94
15222,4
15226,2
15207,10
15370,30
15370,45
15370,100
15226,2
15226,14
15226,8
15228,6
15228,6
15228,4
15228,6
15228,6
15235,1
15235,2
15235,1
15235,2
15235,22
15235,1
15235,2
15210,104
15133,1
15133,1
15133,1
15133,422
15045,4
15045,2
15045,5
15045,10
15132,1
15132,87
15203,1
15203,2
15203,2
15203,1
15203,2
15203,2
15203,2
15235,10
15235,6
15235,10
15236,293
15035,5
15035,5
15035,96
15035,8
15035,5
15236,4
15236,5
15088,4
15222,146
15108,2
15108,3
15108,4
15108,2
15147,3
16117,16
15206,430
15219,32
15219,32
15108,140
15228,4
15110,12
15110,10
15110,12
15701,2
15212,3
15224,2
15224,2
15224,6
15224,5
15201,1
15201,3
15201,2
15201,4
15201,4
15201,5
15904,-40
16101,10
16101,20
15003,25
15003,6
15003,10
15003,25
15003,22
15003,15
15104,6214
15905,8
15905,70
15701,1
16037,6
16037,8
16037,51
15045,133
15101,208
15101,15
15205,3
15205,3
15205,8
15205,6
15205,6
15205,6
15214,1
15214,307
15228,123
15104,9
15140,222
15108,5
15102,4
15102,2
15102,6
15102,7
15239,674
15003,40
