CensusTract,State,County,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP,Total_Population,FI_Population,Demand_of_meals [meals/year]
42003010300,Pennsylvania,Allegheny County,1,6600,282,1,6012,91.09,0,1,0,0,0,1,46.1,17161,0,1,0,1,0,0,0,0,NULL,5739,NULL,NULL,1438,NULL,5739,86.96,1438,21.79,26,0.39,13,0.19,3848,58.31,1730,26.21,65,0.98,2,0.03,10,0.15,85,1.28,137,2.07,0,0.06,0,0.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,540,127,108,4345,2057,73,2,13,110,161,97,100,4221,0,0
42003020100,Pennsylvania,Allegheny County,1,3629,1906,0,1091,30.06,0,0,0,0,1,0,17.5,137463,0,1,0,1,0,0,0,1,0,2361,0,0,497,0,2361,65.07,497,13.7,29,0.8,356,9.81,1735,47.81,428,11.78,63,1.75,2,0.06,7,0.19,126,3.48,80,2.2,370,19.39,101,5.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,990,68,434,2706,580,171,2,8,162,119,805,248,4874,0,0
42003020300,Pennsylvania,Allegheny County,1,616,403,0,0,0,0,0,0,0,0,0,6.4,124722,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,102,49,44,466,96,39,0,1,14,10,74,0,315,0,0
42003030500,Pennsylvania,Allegheny County,1,2256,1154,0,116,5.14,0,0,0,0,0,1,39.5,26976,0,0,0,0,0,0,0,0,NULL,0,NULL,NULL,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1588,463,469,307,1861,24,0,7,57,32,470,469,2693,0,0
42003040200,Pennsylvania,Allegheny County,1,2604,594,0,1259,48.35,0,1,0,1,1,1,47.9,34813,0,1,0,1,0,0,0,1,NULL,2482,NULL,NULL,1720,NULL,2482,95.31,1720,66.04,205,7.87,194,7.45,1371,52.65,884,33.94,169,6.49,0,0,7,0.27,51,1.96,60,2.3,208,34.93,186,31.37,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,887,235,211,1373,1003,169,0,7,52,61,254,224,2242,0,0
42003040400,Pennsylvania,Allegheny County,1,2488,1369,0,325,13.06,0,0,0,0,0,1,39.8,54531,0,0,0,0,0,0,0,0,NULL,142,NULL,NULL,92,NULL,142,5.72,92,3.68,0,0.01,84,3.36,114,4.59,1,0.05,25,1.01,0,0,0,0,2,0.07,2,0.09,54,3.96,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,968,21,620,1518,86,766,1,9,108,95,506,0,2488,0,0
42003040500,Pennsylvania,Allegheny County,1,3694,1300,0,736,19.92,0,1,0,1,1,1,72.8,20875,0,1,0,1,0,0,0,1,NULL,3694,NULL,NULL,3287,NULL,3694,100,3287,88.97,34,0.92,123,3.33,3089,83.62,175,4.74,325,8.8,0,0,9,0.24,96,2.6,79,2.14,490,37.72,10,0.78,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2517,34,123,3089,175,325,0,9,96,79,436,9,3105,0,0
42003040600,Pennsylvania,Allegheny County,1,2392,1084,0,0,0,0,1,0,1,1,1,57.7,46250,0,1,0,1,0,0,0,1,53,2392,53,40,1792,40,2392,100,1792,74.92,57,2.38,106,4.43,1965,82.15,146,6.1,193,8.07,1,0.04,6,0.25,81,3.39,78,3.26,348,32.14,26,2.4,53,2.21,40,1.65,3,0.13,3,0.14,46,1.93,2,0.08,3,0.13,0,0,0,0,1,0.06,2,0.08,9,0.79,1,0.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1589,57,106,1965,146,193,1,6,81,78,295,22,2237,0,0
42003040900,Pennsylvania,Allegheny County,1,2969,1321,0,92,3.1,0,1,0,1,1,1,58,36719,0,1,0,1,0,0,0,1,11,2806,11,6,2049,6,2806,94.5,2049,69.01,199,6.71,291,9.8,1922,64.74,583,19.63,175,5.89,1,0.03,2,0.07,123,4.14,84,2.83,309,23.36,164,12.43,11,0.37,6,0.2,2,0.06,1,0.05,9,0.3,0,0.01,2,0.06,0,0,0,0,0,0,0,0,0,0.03,1,0.04,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2413,210,318,2022,633,183,1,2,128,86,348,186,3007,0,0
42003050100,Pennsylvania,Allegheny County,1,1707,920,0,25,1.46,0,1,0,1,1,1,51.2,18125,0,1,0,1,0,0,0,1,NULL,767,NULL,NULL,417,NULL,767,44.95,417,24.4,140,8.18,136,7.99,27,1.59,722,42.28,1,0.06,0,0,1,0.06,17,0.97,4,0.24,184,20.05,209,22.77,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1420,298,367,65,1610,2,0,2,28,15,505,508,2122,0,0
