CensusTract,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LowIncomeTracts,PovertyRate,TractLOWI,Population
01001020100,0,0,0,0,11.3,455,4014
01001020200,1,1,1,1,17.9,802,4486
01001020300,0,0,0,0,15.0,1306,8680
01001020400,0,0,0,0,2.8,922,32405
01001020500,0,0,0,0,15.2,2242,14798
01001020600,1,1,1,1,21.6,1659,7689
01001020700,1,1,1,1,30.5,2175,7131
01001020801,0,0,0,0,8.9,527,5910
01001020802,0,0,0,0,13.7,3103,22601
01001020900,0,0,0,0,9.8,1612,16431
01001021000,1,1,0,1,22.7,977,4310
01001021100,1,1,0,1,24.1,1463,6068
01003010100,1,1,0,1,10.2,1496,14678
01003010200,0,0,0,1,20.2,1715,8490
01003010300,0,0,0,0,6.4,2492,38844
01003010400,0,0,0,0,12.3,1347,10921
01003010500,0,0,0,0,14.3,1516,10579
01003010600,1,1,1,1,27.7,2174,7843
01003010701,0,0,0,0,4.8,1199,25043
01003010703,0,0,0,0,2.1,1257,60303
01003010704,0,0,0,0,13.4,2045,15279
01003010705,0,0,0,0,14.2,2680,18897
01003010800,0,0,0,0,8.3,2258,27305
01003010903,0,0,0,0,12.5,1406,11264
01003010904,0,0,0,0,17.0,1843,10827
01003010905,0,0,0,0,16.0,2694,16827
01003010906,1,1,1,1,15.5,1925,12392
01003011000,0,0,0,1,21.7,2047,9448
01003011101,0,0,0,0,5.5,1576,28620
01003011102,0,0,0,0,7.2,1062,14690
01003011201,0,0,0,0,15.9,1338,8420
01003011202,0,0,0,0,5.5,1996,36301
01003011300,0,0,0,0,4.3,1003,23064
01003011401,0,0,0,0,11.4,3769,33131
01003011403,0,0,0,0,7.9,3084,39024
01003011405,0,0,0,0,6.7,853,12746
01003011406,0,0,0,0,5.6,561,10069
01003011407,0,0,0,0,16.2,1515,9351
01003011408,0,0,0,0,13.4,87,650
01003011501,0,0,0,0,14.2,1727,12194
01003011502,1,1,1,1,11.6,5468,47096
01003011601,0,0,0,0,18.1,2034,11241
01003011602,0,0,0,1,7.1,1676,23523
01005950100,1,1,0,1,31.2,1539,4929
01005950200,0,0,0,1,33.2,1262,3806
01005950300,1,1,0,1,34.4,889,2587
01005950400,1,1,0,1,26.7,1395,5231
01005950500,0,0,0,0,14.6,1663,11362
01005950600,0,0,0,1,30.4,1104,3635
01005950700,0,0,0,1,30.1,811,2691
01005950800,1,1,1,1,26.3,906,3450
01005950900,0,1,0,1,36.9,2504,6790
01007010001,0,0,0,0,4.2,871,20708
01007010002,0,0,0,0,19.9,2192,11020
01007010003,0,0,0,0,8.9,1079,12066
01007010004,0,0,0,1,15.7,3826,24315
01009050101,0,0,0,1,14.9,2863,19228
01009050102,0,0,0,0,15.3,2634,17194
01009050200,0,0,0,0,13.9,1438,10325
01009050300,0,0,0,1,28.3,2153,7613
01009050400,0,0,0,0,14.8,1523,10281
01009050500,0,0,0,0,18.4,3085,16795
01009050601,0,0,0,0,7.4,1251,16926
01009050602,0,0,0,0,5.5,1908,34841
01009050700,0,0,0,1,15.2,3940,25942
01011952100,1,1,0,1,43.0,1172,2727
01011952200,1,1,1,1,40.4,2717,6729
01011952500,0,0,0,0,8.6,878,10203
01013952700,0,0,0,1,21.9,782,3563
01013952800,0,0,0,0,18.0,401,2229
01013952900,0,0,0,1,28.2,1078,3823
01013953000,1,1,0,1,23.4,792,3387
