CensusTract,County,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LowIncomeTracts,PovertyRate,TractLOWI,Total_Population
42003010300,Allegheny County,0,1,0,1,46.1,540,4221
42003020100,Allegheny County,0,0,0,0,17.5,990,4874
42003020300,Allegheny County,0,0,0,0,6.4,102,315
42003030500,Allegheny County,0,0,0,1,39.5,1588,2693
42003040200,Allegheny County,0,1,0,1,47.9,887,2242
42003040400,Allegheny County,0,0,0,1,39.8,968,2488
42003040500,Allegheny County,0,1,0,1,72.8,2517,3105
42003040600,Allegheny County,0,1,0,1,57.7,1589,2237
42003040900,Allegheny County,0,1,0,1,58,2413,3007
42003050100,Allegheny County,0,1,0,1,51.2,1420,2122
42003050600,Allegheny County,0,1,0,1,21.8,652,2267
42003050900,Allegheny County,0,0,0,1,58.4,1109,2137
42003051000,Allegheny County,0,1,0,1,56,987,1205
42003051100,Allegheny County,0,0,0,1,43.5,159,1398
42003060300,Allegheny County,0,0,0,0,14.6,658,2607
42003060500,Allegheny County,0,0,0,0,9.6,368,1466
42003070300,Allegheny County,0,0,0,0,19.2,635,2214
42003070500,Allegheny County,0,0,0,1,25.3,1264,3148
42003070600,Allegheny County,0,0,0,0,15,538,1979
42003070800,Allegheny County,0,0,0,0,19,902,1665
42003070900,Allegheny County,0,0,0,1,32.5,1890,4748
42003080200,Allegheny County,0,0,0,1,21.3,715,1869
42003080400,Allegheny County,0,0,0,1,33.4,799,1372
42003080600,Allegheny County,0,0,0,0,10.7,552,2076
42003080700,Allegheny County,0,0,0,1,21.2,824,1850
42003080900,Allegheny County,0,0,0,0,8.8,427,1903
42003090100,Allegheny County,0,0,0,0,8.7,387,1881
42003090200,Allegheny County,0,0,0,0,8.8,749,3058
42003090300,Allegheny County,0,0,0,1,12.2,781,1977
42003100500,Allegheny County,0,0,0,0,12.5,480,2273
42003101100,Allegheny County,0,0,0,1,14.2,996,2726
42003101400,Allegheny County,0,0,0,0,5,749,3549
42003101600,Allegheny County,0,1,0,1,43.3,756,1937
42003101700,Allegheny County,0,0,0,1,24.3,606,1946
42003101800,Allegheny County,0,0,0,0,6,413,2742
42003110200,Allegheny County,0,0,0,0,8.5,952,4177
42003110600,Allegheny County,0,0,0,0,15.5,539,2572
42003111300,Allegheny County,0,0,0,0,17.8,1134,3146
42003111400,Allegheny County,0,0,0,1,28,657,1501
42003111500,Allegheny County,0,0,0,1,18.2,1882,3791
42003120300,Allegheny County,1,1,1,1,25.8,997,2208
42003120400,Allegheny County,0,1,0,1,52,587,1323
42003120700,Allegheny County,0,1,0,1,43.4,601,991
42003120800,Allegheny County,0,0,0,1,30.9,427,1402
42003130100,Allegheny County,0,1,0,1,69.7,1339,2706
42003130200,Allegheny County,0,1,0,1,42.8,1055,1914
42003130300,Allegheny County,0,0,0,1,35.4,830,1855
42003130400,Allegheny County,0,0,0,1,48.2,643,1694
42003130600,Allegheny County,0,1,0,1,42.7,1615,3951
42003140100,Allegheny County,0,0,0,0,12.3,575,5531
42003140200,Allegheny County,0,0,0,1,27.1,682,2442
42003140300,Allegheny County,0,0,0,0,9.2,610,3422
42003140400,Allegheny County,0,0,0,0,5.8,295,2381
42003140500,Allegheny County,0,0,0,0,15.1,416,2279
42003140600,Allegheny County,0,0,0,0,10,534,3309
42003140800,Allegheny County,0,0,0,0,13.4,1351,4383
42003141000,Allegheny County,0,0,0,0,1.2,54,1137
42003141100,Allegheny County,0,0,0,0,2.4,366,1372
42003141300,Allegheny County,0,0,0,0,19.2,2064,4950
42003141400,Allegheny County,0,0,0,0,11.9,1168,5174
42003151600,Allegheny County,0,0,0,0,4.8,428,2539
42003151700,Allegheny County,0,0,0,0,8.9,1343,5224
42003160800,Allegheny County,0,1,0,1,15.8,1025,2943
42003160900,Allegheny County,0,0,0,0,17.8,1077,2111
42003170200,Allegheny County,0,0,0,1,30.6,1499,3540
42003170600,Allegheny County,0,1,0,1,20.6,753,2051
42003180300,Allegheny County,0,1,0,1,27.3,1640,3220
42003180700,Allegheny County,0,1,0,1,19,903,2312
42003190300,Allegheny County,0,0,0,0,4.8,456,2133
42003191100,Allegheny County,0,0,0,0,12.9,736,2722
42003191400,Allegheny County,0,0,0,1,18,938,3060
42003191500,Allegheny County,0,1,0,1,13.2,843,2310
42003191600,Allegheny County,0,0,0,0,14.9,1522,4661
42003191700,Allegheny County,0,0,0,0,8,690,3628
42003191800,Allegheny County,0,0,0,1,10.1,1753,5818
42003191900,Allegheny County,0,0,0,0,9.8,506,2436
42003192000,Allegheny County,0,0,0,0,10.4,1105,4111
42003202200,Allegheny County,0,1,0,1,32.1,1338,3018
42003202300,Allegheny County,0,0,0,0,9.5,727,4611
42003210700,Allegheny County,0,1,0,1,18.4,742,2482
42003220600,Allegheny County,0,0,0,0,14.3,490,1885
42003240600,Allegheny County,0,0,0,0,16.8,651,2633
42003241200,Allegheny County,0,0,0,0,18.6,291,1161
42003250300,Allegheny County,0,1,0,1,27.4,519,1225
42003250700,Allegheny County,0,0,0,1,45.3,366,936
42003250900,Allegheny County,0,1,0,1,28.1,713,1825
