CensusTract,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LowIncomeTracts,PovertyRate,TractLOWI,Population,County
42003010300,0,1,0,1,46.1,540,1171,Allegheny County
42003020100,0,0,0,0,17.5,990,5668,Allegheny County
42003020300,0,0,0,0,6.4,102,1601,Allegheny County
42003030500,0,0,0,1,39.5,1588,4022,Allegheny County
42003040200,0,1,0,1,47.9,887,1852,Allegheny County
42003040400,0,0,0,1,39.8,968,2429,Allegheny County
42003040500,0,1,0,1,72.8,2517,3456,Allegheny County
42003040600,0,1,0,1,57.7,1589,2756,Allegheny County
42003040900,0,1,0,1,58,2413,4158,Allegheny County
42003050100,0,1,0,1,51.2,1420,2771,Allegheny County
42003050600,0,1,0,1,21.8,652,2993,Allegheny County
42003050900,0,0,0,1,58.4,1109,1900,Allegheny County
42003051000,0,1,0,1,56,987,1761,Allegheny County
42003051100,0,0,0,1,43.5,159,365,Allegheny County
42003060300,0,0,0,0,14.6,658,4507,Allegheny County
42003060500,0,0,0,0,9.6,368,3814,Allegheny County
42003070300,0,0,0,0,19.2,635,3307,Allegheny County
42003070500,0,0,0,1,25.3,1264,4990,Allegheny County
42003070600,0,0,0,0,15,538,3594,Allegheny County
42003070800,0,0,0,0,19,902,4745,Allegheny County
42003070900,0,0,0,1,32.5,1890,5807,Allegheny County
42003080200,0,0,0,1,21.3,715,3351,Allegheny County
42003080400,0,0,0,1,33.4,799,2389,Allegheny County
42003080600,0,0,0,0,10.7,552,5149,Allegheny County
42003080700,0,0,0,1,21.2,824,3894,Allegheny County
42003080900,0,0,0,0,8.8,427,4869,Allegheny County
42003090100,0,0,0,0,8.7,387,4426,Allegheny County
42003090200,0,0,0,0,8.8,749,8507,Allegheny County
42003090300,0,0,0,1,12.2,781,6423,Allegheny County
42003100500,0,0,0,0,12.5,480,3834,Allegheny County
42003101100,0,0,0,1,14.2,996,7027,Allegheny County
42003101400,0,0,0,0,5,749,15034,Allegheny County
42003101600,0,1,0,1,43.3,756,1745,Allegheny County
42003101700,0,0,0,1,24.3,606,2495,Allegheny County
42003101800,0,0,0,0,6,413,6939,Allegheny County
42003110200,0,0,0,0,8.5,952,11227,Allegheny County
42003110600,0,0,0,0,15.5,539,3471,Allegheny County
42003111300,0,0,0,0,17.8,1134,6366,Allegheny County
42003111400,0,0,0,1,28,657,2344,Allegheny County
42003111500,0,0,0,1,18.2,1882,10365,Allegheny County
42003120300,1,1,1,1,25.8,997,3870,Allegheny County
42003120400,0,1,0,1,52,587,1128,Allegheny County
42003120700,0,1,0,1,43.4,601,1385,Allegheny County
42003120800,0,0,0,1,30.9,427,1383,Allegheny County
42003130100,0,1,0,1,69.7,1339,1920,Allegheny County
42003130200,0,1,0,1,42.8,1055,2467,Allegheny County
42003130300,0,0,0,1,35.4,830,2345,Allegheny County
42003130400,0,0,0,1,48.2,643,1333,Allegheny County
42003130600,0,1,0,1,42.7,1615,3785,Allegheny County
42003140100,0,0,0,0,12.3,575,4657,Allegheny County
42003140200,0,0,0,1,27.1,682,2518,Allegheny County
42003140300,0,0,0,0,9.2,610,6661,Allegheny County
42003140400,0,0,0,0,5.8,295,5072,Allegheny County
42003140500,0,0,0,0,15.1,416,2752,Allegheny County
42003140600,0,0,0,0,10,534,5350,Allegheny County
42003140800,0,0,0,0,13.4,1351,10091,Allegheny County
42003141000,0,0,0,0,1.2,54,4497,Allegheny County
42003141100,0,0,0,0,2.4,366,15455,Allegheny County
42003141300,0,0,0,0,19.2,2064,10728,Allegheny County
42003141400,0,0,0,0,11.9,1168,9812,Allegheny County
42003151600,0,0,0,0,4.8,428,8954,Allegheny County
42003151700,0,0,0,0,8.9,1343,15101,Allegheny County
42003160800,0,1,0,1,15.8,1025,6470,Allegheny County
42003160900,0,0,0,0,17.8,1077,6066,Allegheny County
42003170200,0,0,0,1,30.6,1499,4906,Allegheny County
42003170600,0,1,0,1,20.6,753,3660,Allegheny County
42003180300,0,1,0,1,27.3,1640,6003,Allegheny County
42003180700,0,1,0,1,19,903,4744,Allegheny County
42003190300,0,0,0,0,4.8,456,9533,Allegheny County
42003191100,0,0,0,0,12.9,736,5716,Allegheny County
42003191400,0,0,0,1,18,938,5217,Allegheny County
42003191500,0,1,0,1,13.2,843,6378,Allegheny County
42003191600,0,0,0,0,14.9,1522,10201,Allegheny County
42003191700,0,0,0,0,8,690,8607,Allegheny County
42003191800,0,0,0,1,10.1,1753,17399,Allegheny County
42003191900,0,0,0,0,9.8,506,5158,Allegheny County
42003192000,0,0,0,0,10.4,1105,10668,Allegheny County
42003202200,0,1,0,1,32.1,1338,4169,Allegheny County
42003202300,0,0,0,0,9.5,727,7660,Allegheny County
42003210700,0,1,0,1,18.4,742,4031,Allegheny County
42003220600,0,0,0,0,14.3,490,3434,Allegheny County
42003240600,0,0,0,0,16.8,651,3884,Allegheny County
42003241200,0,0,0,0,18.6,291,1568,Allegheny County
42003250300,0,1,0,1,27.4,519,1897,Allegheny County
42003250700,0,0,0,1,45.3,366,808,Allegheny County
42003250900,0,1,0,1,28.1,713,2536,Allegheny County
42003260200,1,1,1,1,17,703,4145,Allegheny County
42003260700,0,0,0,0,7.7,313,4074,Allegheny County
42003260900,1,1,1,1,67.5,1113,1649,Allegheny County
42003261200,0,0,0,0,3.7,126,3399,Allegheny County
42003261400,0,1,0,1,27.8,923,3320,Allegheny County
42003261500,0,1,0,1,33.6,735,2185,Allegheny County
42003262000,1,1,1,1,32.5,1198,3691,Allegheny County
42003270100,0,0,0,0,10.9,676,6184,Allegheny County
42003270300,0,0,0,0,9.1,676,7447,Allegheny County
42003270400,0,0,0,0,15.3,434,2839,Allegheny County
42003270800,0,0,0,0,19.3,838,4347,Allegheny County
42003271500,0,1,0,1,19.9,1902,9560,Allegheny County
42003281400,0,1,0,1,42.3,1473,3485,Allegheny County
42003281500,0,0,0,0,6.4,371,5807,Allegheny County
42003290100,0,1,0,1,14.8,1052,7088,Allegheny County
42003290200,0,1,0,1,17.1,2119,12359,Allegheny County
42003290400,1,1,1,1,25,1818,7262,Allegheny County
42003300100,0,1,0,1,32.9,2353,7154,Allegheny County
42003310200,0,0,0,0,7.7,982,12770,Allegheny County
42003310300,0,0,0,0,3.3,113,3390,Allegheny County
42003320400,1,1,1,1,16.2,718,4426,Allegheny County
42003320600,0,0,0,0,10.1,485,4805,Allegheny County
42003320700,0,0,0,0,14.9,563,3774,Allegheny County
42003401100,0,0,0,0,4.9,1134,23314,Allegheny County
42003401200,0,1,0,1,31.1,1803,5805,Allegheny County
42003401300,0,0,0,0,4,350,8731,Allegheny County
42003402000,1,1,1,1,17.5,1125,6439,Allegheny County
42003403500,1,1,1,1,23.3,2262,9696,Allegheny County
42003404000,0,0,0,0,12.2,423,3471,Allegheny County
42003405000,0,0,0,0,6.9,141,2039,Allegheny County
42003406000,0,0,0,0,3.2,398,12382,Allegheny County
42003407001,0,0,0,0,3,1302,43268,Allegheny County
42003407002,0,0,0,0,6.6,989,14917,Allegheny County
42003408001,0,0,0,0,6.4,622,9725,Allegheny County
42003408002,0,0,0,0,2.4,436,18453,Allegheny County
42003409000,0,0,0,0,2.4,893,37468,Allegheny County
42003410000,0,0,0,0,2.2,49,2260,Allegheny County
42003411000,0,0,0,0,3.5,879,25052,Allegheny County
42003412001,0,0,0,0,3.3,514,15435,Allegheny County
42003412002,0,0,0,0,1.4,177,12850,Allegheny County
42003413100,0,0,0,0,7.6,820,10851,Allegheny County
42003413201,0,0,0,0,4.7,373,7967,Allegheny County
42003413202,0,0,0,0,3.3,388,11821,Allegheny County
42003413300,0,0,0,0,2.1,363,16896,Allegheny County
42003413400,0,0,0,0,3.2,559,17219,Allegheny County
42003413500,0,0,0,0,6.7,1049,15712,Allegheny County
42003414101,0,0,0,0,1.6,345,21996,Allegheny County
42003414102,0,0,0,0,3.9,1214,30785,Allegheny County
42003414200,0,0,0,0,5.6,692,12348,Allegheny County
42003415001,0,0,0,0,4.2,453,10893,Allegheny County
42003415002,0,0,0,0,5.1,200,3938,Allegheny County
42003416000,0,1,0,1,9.5,445,4691,Allegheny County
42003417100,0,0,0,0,9.1,424,4671,Allegheny County
42003417200,0,0,0,0,14.8,417,2816,Allegheny County
42003418000,0,0,0,0,6.6,297,4468,Allegheny County
42003419000,0,0,0,0,9.4,572,6098,Allegheny County
42003420000,1,1,1,1,14.4,750,5209,Allegheny County
42003421100,0,0,0,0,4.6,809,17639,Allegheny County
42003421200,0,0,0,0,5.9,552,9379,Allegheny County
42003422000,0,0,0,0,0.6,273,45480,Allegheny County
42003423000,0,0,0,0,4.3,468,10803,Allegheny County
42003424000,1,1,1,1,19.3,1430,7419,Allegheny County
