zip,tract,usps_zip_pref_city,usps_zip_pref_state,res_ratio,bus_ratio,oth_ratio,tot_ratio
15139,42003526101,OAKMONT,PA,0.000000000,0.005586592,0.000000000,0.000469043
15139,42003525100,OAKMONT,PA,0.288440567,0.041899441,0.050420168,0.254455910
15139,42003525300,OAKMONT,PA,0.274536532,0.256983240,0.172268908,0.267354597
15139,42003525200,OAKMONT,PA,0.437022901,0.695530726,0.777310924,0.477720450
15222,42003020300,PITTSBURGH,PA,0.293613548,0.160599572,0.299424184,0.243930503
15222,42003060500,PITTSBURGH,PA,0.000000000,0.003059039,0.003838772,0.001380739
15222,42003240600,PITTSBURGH,PA,0.017955519,0.007035791,0.015355086,0.013692325
15222,42003020100,PITTSBURGH,PA,0.688430932,0.829305598,0.681381958,0.740996433
15225,42003461000,PITTSBURGH,PA,1.000000000,1.000000000,1.000000000,1.000000000
15442,42051261401,GRINDSTONE,PA,0.074317968,0.016129032,0.000000000,0.067854114
15442,42051261402,GRINDSTONE,PA,0.624647225,0.838709677,0.925925926,0.649703138
15442,42051261100,GRINDSTONE,PA,0.301034807,0.145161290,0.074074074,0.282442748
15344,42059970200,JEFFERSON,PA,0.759941090,0.727272727,1.000000000,0.762306610
15344,42059970300,JEFFERSON,PA,0.181148748,0.227272727,0.000000000,0.180028129
15344,42059970100,JEFFERSON,PA,0.058910162,0.045454545,0.000000000,0.057665260
15563,42111020400,STOYSTOWN,PA,0.171353826,0.168539326,0.042553191,0.167567568
15563,42111021200,STOYSTOWN,PA,0.225637672,0.101123596,0.042553191,0.213813814
15563,42111020600,STOYSTOWN,PA,0.136036625,0.202247191,0.042553191,0.136936937
15563,42111020500,STOYSTOWN,PA,0.466971877,0.528089888,0.872340426,0.481681682
15642,42129803200,IRWIN,PA,0.033717712,0.083218707,0.040572792,0.036895512
15642,42129805100,IRWIN,PA,0.020848708,0.011004127,0.014319809,0.020124825
15642,42129803000,IRWIN,PA,0.140959410,0.153370014,0.508353222,0.148261368
15642,42129803302,IRWIN,PA,0.072601476,0.046079780,0.028639618,0.070182142
15642,42129802301,IRWIN,PA,0.033948339,0.041265475,0.014319809,0.034050864
15642,42129803502,IRWIN,PA,0.102167897,0.171251719,0.035799523,0.105251985
15642,42129802303,IRWIN,PA,0.004704797,0.002751032,0.009546539,0.004670318
15642,42129803400,IRWIN,PA,0.069926199,0.013755158,0.009546539,0.065384452
15642,42003564200,IRWIN,PA,0.002721402,0.000000000,0.000000000,0.002504989
15642,42129802304,IRWIN,PA,0.047601476,0.019257221,0.014319809,0.045259627
